variable,period,coeff,se,ci_lo,ci_hi,avg_post_coeff,avg_post_se,avg_post_p,avg_pre_coeff,avg_pre_se,avg_pre_p,joint_f_pre_p,joint_f_post_p,part
pop_allpop,-1,0,0,0,0,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-10,-464.1289568340118,396.9904898494613,-1242.230316938956,313.9724032709324,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-9,26.76349548450168,382.3979859872308,-722.7365570504707,776.2635480194741,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-8,60.32106609717772,351.224694637248,-628.0793353918284,748.7214675861837,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-7,-15.99689164473529,321.4880360185201,-646.1134422410348,614.1196589515641,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-6,135.2874733639537,269.307166335771,-392.5545726541575,663.1295193820649,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-5,177.5143759556696,200.421922894914,-215.3125929183618,570.341344829701,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-4,71.81193012400389,172.6799437472592,-266.6407596206241,410.2646198686319,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-3,42.726003653634,159.9804263701506,-270.8356320318612,356.2876393391292,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,-2,148.7178774878701,151.8036877757384,-148.8173505525772,446.2531055283174,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,0,168.8282937858508,160.4007708036079,-145.5572169892207,483.2138045609223,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,1,41.57838958403196,100.3388501225046,-155.0857566560771,238.242535824141,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,2,146.1550989552394,129.3769526273225,-107.4237281943127,399.7339261047915,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,3,150.9393680712998,152.595975408012,-148.1487437284037,450.0274798710034,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,4,105.9160928914018,166.9926172400163,-221.3894368990301,433.2216226818338,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,5,89.27250638393848,192.4587857213145,-287.946713629838,466.491726397715,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,6,-62.35272653500284,230.4000789818498,-513.9368813394284,389.2314282694227,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,7,173.3508289905204,287.7438435786235,-390.6271044235816,737.3287624046225,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,8,32.44856682222415,282.5060879739454,-521.2633656067088,586.1604992511571,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,9,35.427882172152,304.4874987639629,-561.3676154052152,632.2233797495192,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
pop_allpop,10,111.244296218793,360.7427901221242,-595.8115724205703,818.3001648581563,90.2553270309499,172.053845286058,.5998779376249133,20.33515263200707,190.7366234931857,.9150953851353961,.4485511201811128,.9040614051989875,migration
log_pop,-1,0,0,0,0,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-10,-.0129789195800002,.0099540063125888,-.0324887719526743,.0065309327926738,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-9,-.0023398221346133,.0093291590230539,-.0206249738197989,.0159453295505723,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-8,-.0001929385589847,.0083896579588216,-.016636668158275,.0162507910403056,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-7,-.0018815509074627,.0071956512025042,-.0159850272643709,.0122219254494455,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-6,.0027721099003667,.0059926831483717,-.0089735490704418,.0145177688711752,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-5,.0049991866258341,.004468069323432,-.0037582292480926,.0137566024997608,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-4,.0009150054141144,.0039659546320894,-.0068582656647808,.0086882764930096,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-3,.0001755981157721,.0033843336269283,-.0064576957930074,.0068088920245516,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,-2,.0012648843649582,.0031899000540462,-.0049873197409724,.0075170884708888,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,0,.0012792953876799,.003063163678392,-.0047245054219684,.0072830961973282,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,1,.0005956396539768,.0030436933548058,-.0053699993214426,.0065612786293962,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,2,.0052871315733029,.0041616696325055,-.0028697409064079,.0134440040530137,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,3,.0046802248247483,.0048981654427609,-.0049201794430631,.0142806290925597,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,4,.003994552428655,.0054700276651739,-.0067267017950858,.0147158066523958,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,5,.0037529470488796,.00581813654106,-.007650600571598,.0151564946693572,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,6,.0022405207199831,.0080250163330087,-.013488511292714,.0179695527326802,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,7,.0045414100632181,.0097392215737062,-.0145474642212461,.0236302843476823,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,8,.0042726854423487,.0107989803708371,-.016893316084492,.0254386869691894,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,9,.0057003217238399,.0113831484237178,-.016610649186647,.0280112926343268,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
log_pop,10,.0123239424415035,.0112894762765828,-.0098034310605988,.0344513159436058,.004424424664376,.0055664240433993,.4267057250622495,-.0008073829733351,.0049117134730395,.8694327262627936,.5081531586707563,.9677530084705345,migration
rnetmig,-1,0,0,0,0,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-10,1.381122480243287,1.061498479655278,-.6994145398810578,3.461659500367632,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-9,-.9479992544357907,1.503541335888888,-3.894940272778011,1.99894176390643,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-8,1.588158794087253,1.491478869508129,-1.335139790148679,4.511457378323185,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-7,-.190036010720817,1.427618218716131,-2.988167719404434,2.6080956979628,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-6,-.3692795384559387,1.481296203253925,-3.272620096833632,2.534061019921754,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-5,-1.244936857823741,1.355476907852773,-3.901671597215176,1.411797881567694,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-4,-.7607516896788756,1.010918509827936,-2.74215196894163,1.220648589583879,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-3,-.8538716009721112,1.059691519467727,-2.930866979128856,1.223123777184633,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,-2,-.2866974378616145,.8482623326696975,-1.949291609894222,1.375896734170993,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,0,.574779092576672,.7608839386955778,-.9165534272666604,2.066111612420005,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,1,.797295796069185,1.960109001704839,-3.044517847272299,4.639109439410669,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,2,1.567598256001026,1.930315310313371,-2.215819752213181,5.351016264215233,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,3,1.383968769665069,1.448224165772386,-1.454550595248808,4.222488134578946,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,4,-.4989716870737673,.8885106185675963,-2.240452499466256,1.242509125318721,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,5,-.3498168615236205,.8595371469037039,-2.03450966945488,1.334875946407639,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,6,-.1377807229223904,1.178307727877025,-2.447263869561359,2.171702423716579,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,7,-.045877434707472,1.172057279507103,-2.343109702541394,2.25135483312645,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,8,-.0775626100462083,1.178983900347251,-2.38837105472682,2.233245834634404,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,9,-1.563645203802051,1.49526132984836,-4.494357410304836,1.367067002700734,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
rnetmig,10,-1.409388482354966,1.07573036856532,-3.517820004742993,.6990430400330609,.0218726283528615,.7363780521531941,.9763039289966887,-.1871434572909277,.88834395702934,.8331482680773814,.4643166714551652,.8406235344473612,migration
pop_nonwhite,-1,0,0,0,0,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-10,-.1958163018805754,.2142083438908966,-.6156646559067327,.2240320521455819,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-9,-.158515110703457,.1855933385966789,-.5222780543529476,.2052478329460336,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-8,-.1561523012124627,.1669553093897876,-.4833847076164464,.1710801051915209,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-7,-.158317683805304,.1424847629605356,-.4375878192079538,.1209524515973458,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-6,-.0979194517567785,.1129193667596006,-.3192414106055957,.1234025070920387,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-5,-.0766549832168945,.0883234967224096,-.2497690367928173,.0964590703590283,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-4,-.1352754957929919,.1095200911631831,-.3499348744728308,.079383882886847,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-3,-.1699805285701474,.0900224390098914,-.3464245090295345,.0064634518892397,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,-2,-.0254414488970613,.0428730495316168,-.1094726259790302,.0585897281849076,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,0,.000663599606479,.0360404772540345,-.0699757358114286,.0713029350243866,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,1,.0672092796930046,.0655771094160861,-.0613218547625242,.1957404141485334,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,2,.1682529460921477,.1274271153920026,-.0815042000761774,.4180100922604728,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,3,.2246125120032205,.1595777547441839,-.08815988729538,.537384911301821,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,4,.1796413935540035,.1761857042571633,-.1656825867900366,.5249653738980435,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,5,.2242114627207392,.1892128418632247,-.1466457073311812,.5950686327726596,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,6,.4292300099288444,.2665202681312464,-.0931497156083986,.9516097354660874,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,7,.4374533136246189,.3244644787022579,-.1984970646318066,1.073403691881044,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,8,.5220226398626631,.3626792371535015,-.1888286649581998,1.232873944683526,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,9,.4629661169874651,.3676877757950324,-.2577019235707984,1.183634157545729,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_nonwhite,10,.6562127835289479,.4576867902318109,-.2408533253254015,1.553278892383297,.3065887325092849,.2104314720992775,.1451293965194313,-.130452589537297,.1015125131332331,.1987612692064633,.8735006508556729,.8412853814088139,composition
pop_white,-1,0,0,0,0,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-10,.1955875782785155,.2140117695160146,-.2238754899728731,.6150506465299042,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-9,.1583825259343121,.1854846703898017,-.2051674280296993,.5219324798983235,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-8,.1561409240007639,.1669459958202731,-.1710732278069714,.4833550758084992,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-7,.1582989981326233,.1424784073058901,-.1209586801869213,.4375566764521679,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-6,.0978591323958841,.1128976680762732,-.1234202970336114,.3191385618253796,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-5,.0764135122507723,.0881566531199125,-.0963735278642562,.2492005523658008,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-4,.1351160106418261,.109460647830458,-.0794268591058716,.3496588803895238,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-3,.1699020992622681,.0899882766508148,-.0064749229733289,.3462791214978651,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,-2,.0252934639460031,.0428080176854021,-.058610250717385,.1091971786093912,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
pop_white,0,-.0006085962216798,.0359802859111632,-.0711299566075597,.0699127641642001,-.3065018585214007,.2103630055336999,.1451124968583692,.1303326938714409,.1014178287124416,.1987551291350519,.8734863920069551,.8412200145476038,composition
